name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
Ronaldo,Male,1976,10,SOCCER PLAYER,TEAM SPORTS,5.9,3.5,6.3,3,5.1,3.5,5,2.5,5.7,3.3,35.4,52.596655611644664
Usain Bolt,Male,1986,24,ATHLETE,INDIVIDUAL SPORTS,5.708333333333333,3.083333333333333,6.666666666666667,2.7916666666666665,5.333333333333333,3.7916666666666665,5.166666666666667,2.375,5.166666666666667,2.875,60.54166666666666,42.007694376382034
George H. W. Bush,Male,1924,27,POLITICIAN,GOVERNMENT,4.037037037037037,4.037037037037037,4.814814814814815,3.555555555555556,3.5185185185185186,4.037037037037037,3.592592592592593,3.2962962962962963,4.407407407407407,4.962962962962963,-15.444444444444445,1.242353688254763
Fidel Castro,Male,1926,19,POLITICIAN,GOVERNMENT,4.631578947368421,6.157894736842105,4.368421052631579,4.7368421052631575,3.631578947368421,2.210526315789474,2.526315789473684,2.736842105263158,3.210526315789474,3.473684210526316,-42.578947368421055,-15.353789495927202
Jimmy Carter,Male,1924,28,POLITICIAN,GOVERNMENT,4.821428571428571,2.75,5.892857142857143,2.321428571428572,4.75,4.535714285714286,5.642857142857143,2.142857142857143,5.75,3.9642857142857135,40.60714285714285,-18.494538816852067
Hulk Hogan,Male,1953,18,WRESTLER,INDIVIDUAL SPORTS,6.388888888888889,5.055555555555555,4.888888888888889,3.333333333333333,4.111111111111111,1.6111111111111112,3.555555555555556,3.055555555555556,3,3.333333333333333,1,-0.8218426246858428
Mother Teresa,Female,1910,32,SOCIAL ACTIVIST,ACTIVISM,4.15625,2.4375,6.25,2.3125,5.15625,4.9375,5.90625,2.03125,5.96875,3.25,55.96875,38.630296526693726
Jeffrey Dahmer,Male,1960,27,EXTREMIST,OUTLAWS,3.4814814814814814,5.148148148148148,3.333333333333333,5.37037037037037,3.4444444444444446,5.111111111111111,1.3333333333333333,3.962962962962963,1.6296296296296295,2.555555555555556,-92.55555555555556,-27.343230133105383
David Bautista,Male,1969,18,WRESTLER,INDIVIDUAL SPORTS,5.888888888888889,3.1666666666666665,6.166666666666667,2.7777777777777777,5.444444444444445,3.333333333333333,4.722222222222222,2.4444444444444446,5,2.833333333333333,55.833333333333336,49.51133685507174
Randy Orton,Male,1980,10,WRESTLER,INDIVIDUAL SPORTS,5.3,4.2,5.4,3.2,4.8,3.7,3.7,3.1,4,3.9,25,44.75216187421305
